,country,city,lat,lon,date,cloudiness,humidity,max_temp,wind_speed
197,RU,ostrovnoy,68.0531,39.5131,1643499029,84,90,17.42,15.41
198,NG,owo,7.1962,5.5868,1643499029,96,21,74.03,4.61
199,MY,georgetown,5.4112,100.3354,1643498939,20,90,80.89,0.0
200,CA,lillooet,50.6856,-121.942,1643499030,100,87,39.92,4.05
201,ZA,graaff-reinet,-32.2522,24.5308,1643499030,0,82,61.92,2.28
202,RU,chara,56.9064,118.2631,1643499031,39,88,-19.8,0.98
203,JP,kushima,31.4583,131.2333,1643499031,100,76,46.44,3.71
204,GL,aasiaat,68.7098,-52.8699,1643499031,100,84,6.89,22.95
205,PK,pasni,25.2631,63.471,1643499032,0,70,68.97,4.21
206,US,chino valley,34.7575,-112.4538,1643499032,0,18,57.96,5.99
207,BT,pemagatsel,27.0319,91.4266,1643499032,0,66,33.89,4.7
208,HU,letenye,46.433,16.7258,1643499033,81,30,35.19,4.47
209,BR,boca do acre,-8.7522,-67.3978,1643499033,100,97,73.92,1.63
210,CA,torbay,47.6666,-52.7314,1643499034,100,94,35.28,26.46
211,SB,honiara,-9.4333,159.95,1643499034,100,71,84.6,4.09
212,PY,pozo colorado,-23.4923,-58.7972,1643499034,1,36,81.28,5.3
213,JP,shimoda,34.6667,138.95,1643499035,79,57,44.96,13.89
214,US,half moon bay,37.4636,-122.4286,1643499035,0,47,67.91,1.01
215,RU,chermoz,58.787,56.1489,1643499035,92,99,1.27,4.94
216,JP,muroto,33.2833,134.15,1643499036,99,64,44.64,6.67
217,MY,kota bahru,6.1333,102.2386,1643499036,20,100,71.55,0.0
218,BR,castro,-24.7911,-50.0119,1643499036,100,99,59.81,6.91
219,US,amarillo,35.222,-101.8313,1643499037,0,15,65.08,3.0
220,LR,buchanan,5.8808,-10.0467,1643499037,69,85,79.14,3.8
221,US,hamilton,39.1834,-84.5333,1643498888,100,64,24.21,1.01
222,MY,kuah,6.3265,99.8432,1643499038,20,94,76.98,0.0
223,RU,igrim,63.1906,64.4162,1643499038,92,97,-2.76,5.01
224,RU,cherskiy,68.75,161.3,1643499038,71,99,-25.91,2.26
225,ZA,plettenberg bay,-34.0527,23.3716,1643499039,8,92,63.66,3.4
226,RU,pevek,69.7008,170.3133,1643499039,82,100,-19.17,2.98
227,PT,lata,40.1629,-8.3327,1643499099,0,51,50.04,5.5
228,TH,trang,7.5,99.5,1643499100,20,100,75.15,1.14
229,AU,alyangula,-13.8483,136.4192,1643499100,75,79,84.07,9.22
230,RU,peleduy,59.6289,112.7406,1643499100,100,100,-9.47,2.71
231,NO,sistranda,63.7256,8.834,1643499101,86,69,41.9,33.78
232,NO,tromso,69.6496,18.957,1643499101,0,62,20.37,3.44
233,CL,santiago,-33.4569,-70.6483,1643498500,0,46,77.85,8.05
234,US,broome,42.2506,-75.833,1643499102,0,73,10.02,4.0
235,PE,lima,-12.0432,-77.0282,1643498968,40,66,73.9,3.0
236,RU,kungurtug,50.5994,97.5228,1643499102,39,97,-24.23,1.43
237,MU,cap malheureux,-19.9842,57.6142,1643499102,93,77,79.29,1.01
238,SS,raga,8.4596,25.678,1643499103,87,20,64.22,3.94
239,RU,yerbogachen,61.2767,108.0108,1643499103,92,98,-8.36,3.22
240,AZ,artyom,40.4723,50.333,1643499104,7,65,30.34,15.46
241,ID,kefamenanu,-9.4467,124.4781,1643499104,100,87,75.33,4.21
242,RU,tubinskiy,52.8892,58.2225,1643499104,100,89,-0.26,4.14
